time,baseline,rv,model_time,model,residuals
,-1.5798749003260957,,2459424.628510077,5.905548416695065,
,-1.5798749003260957,,2459425.377412082,7.944004945852161,
,-1.5798749003260957,,2459426.1263140873,-1.1249525125442355,
,-1.5798749003260957,,2459426.875216092,-8.568745303892673,
,-1.5798749003260957,,2459427.624118097,-4.125292653996217,
,-1.5798749003260957,,2459428.3730201023,6.119622625328397,
,-1.5798749003260957,,2459429.121922107,7.815077644393252,
,-1.5798749003260957,,2459429.870824112,-1.413120937212097,
,-1.5798749003260957,,2459430.6197261172,-8.616458461457292,
,-1.5798749003260957,,2459431.3686281224,-3.8663404239765855,
,-1.5798749003260957,,2459432.117530127,6.32683910104285,
,-1.5798749003260957,,2459432.866432132,7.677384340404182,
,-1.5798749003260957,,2459433.6153341373,-1.699630546109149,
,-1.5798749003260957,,2459434.364236142,-8.654641219740759,
,-1.5798749003260957,,2459435.113138147,-3.6029937717083427,
,-1.5798749003260957,,2459435.8620401523,6.526960076064201,
,-1.5798749003260957,,2459436.610942157,7.531084977362282,
,-1.5798749003260957,,2459437.359844162,-1.9841649697573247,
,-1.5798749003260957,,2459438.1087461673,-8.6832510109982,
,-1.5798749003260957,,2459438.8576481724,-3.335543036605987,
,-1.5798749003260957,,2459439.606550177,6.719755808287648,
,-1.5798749003260957,,2459440.3554521822,7.376349229365458,
,-1.5798749003260957,,2459441.1043541874,-2.2664103955577097,
,-1.5798749003260957,,2459441.853256192,-8.702255534061372,
,-1.5798749003260957,,2459442.602158197,-3.064283530193634,
,-1.5798749003260957,,2459443.3510602023,6.905004913046997,
,-1.5798749003260957,,2459444.099962207,7.21335631067212,
